Column 1	exp_2: 0	exp_3: 0	exp_5: 0	exp_7: 0	exp_11: 0	exp_13: 0	exp_17: 0	exp_19: 0	exp_23: 0	exp_29: 0	exp_31: 0	exp_41: 0	exp_47: 0	exp_59: 0	exp_71: 0	sum	sum23
2	2	0	0	0	0	0	0	0	0	0	1	1	0	1	1	6	2
3	1	0	0	0	0	2	0	0	0	1	1	0	1	1	0	7	1
4	2	0	0	1	1	0	0	0	1	1	1	1	0	0	1	9	2
13	1	0	2	1	0	0	0	1	1	1	1	1	1	1	1	12	1
14	12	0	0	4	1	2	0	0	0	0	1	0	0	1	1	22	12
17	3	0	0	1	0	3	1	0	0	1	1	1	1	1	1	14	3
20	2	0	7	0	0	2	0	1	0	0	1	1	1	1	1	17	2
22	1	0	2	1	1	3	1	1	0	1	1	1	1	0	1	15	1
28	7	0	2	0	1	3	0	1	1	0	1	1	1	1	1	20	7
33	4	0	2	0	0	3	1	1	1	1	1	1	1	1	1	18	4
35	3	0	8	1	0	3	1	1	0	1	0	1	0	1	1	21	3
37	1	0	2	4	1	3	0	1	1	1	1	1	1	0	1	18	1
38	2	0	0	6	2	3	1	0	1	0	1	1	1	1	0	19	2
39	2	0	0	6	2	3	1	0	1	0	1	1	1	1	0	19	2
40	18	0	0	6	1	3	1	1	0	1	0	1	0	0	0	32	18
41	18	0	0	6	1	3	1	1	0	1	0	1	0	0	0	32	18
42	18	0	0	0	1	3	1	1	1	0	0	1	1	1	1	29	18
46	1	0	0	5	2	3	0	1	1	1	1	0	1	1	1	18	1
47	1	0	0	5	2	3	0	1	1	1	1	0	1	1	1	18	1
48	5	0	8	4	1	0	0	0	1	1	1	1	1	1	0	24	5
58	17	0	5	0	2	3	1	1	0	0	1	0	0	1	1	32	17
59	17	0	5	0	2	3	1	1	0	0	1	0	0	1	1	32	17
62	3	0	7	5	0	2	0	0	1	1	1	0	1	1	1	23	3
68	3	0	2	3	2	3	1	1	1	1	0	1	1	1	1	21	3
69	2	0	9	0	1	2	1	0	1	1	1	1	1	1	1	22	2
75	3	0	3	5	0	3	1	1	0	1	1	1	1	1	1	22	3
84	2	0	9	6	2	0	1	1	0	0	1	1	0	1	1	25	2
85	2	0	9	6	2	0	1	1	0	0	1	1	0	1	1	25	2
88	1	0	8	6	0	0	1	0	1	1	1	1	1	1	1	23	1
89	1	0	8	6	0	0	1	0	1	1	1	1	1	1	1	23	1
101	46	0	0	0	2	3	0	0	1	0	1	0	1	0	0	54	46
102	46	0	0	0	2	3	0	0	1	0	1	0	1	0	0	54	46
108	3	0	0	6	2	2	1	1	1	1	1	1	1	1	1	22	3
110	2	0	9	4	1	3	0	1	1	0	0	1	1	1	1	25	2
111	18	0	0	6	0	0	1	1	1	1	1	1	1	1	1	33	18
118	18	0	8	5	0	0	0	1	1	0	1	1	0	1	1	37	18
120	13	0	2	5	2	3	0	0	1	1	0	1	1	1	1	31	13
122	43	0	0	0	2	2	0	1	1	1	0	1	0	1	0	52	43
123	43	0	0	0	2	2	0	1	1	1	0	1	0	1	0	52	43
124	43	0	0	0	2	2	0	1	1	1	0	1	0	1	0	52	43
127	1	0	9	6	2	2	1	1	0	1	1	0	1	1	0	26	1
128	1	0	9	6	2	2	1	1	0	1	1	0	1	1	0	26	1
131	2	0	2	6	2	3	1	0	1	1	1	1	1	1	1	23	2
132	42	0	0	4	1	0	0	0	1	0	1	1	1	1	0	52	42
133	3	0	8	6	1	0	1	1	0	1	1	1	1	1	1	26	3
134	18	0	0	6	1	3	1	1	1	1	1	1	1	0	0	35	18
135	18	0	0	6	1	3	1	1	1	1	1	1	1	0	0	35	18
136	21	0	0	6	1	3	1	1	0	1	0	1	0	1	1	37	21
138	1	0	5	4	2	3	0	1	1	1	1	1	1	1	1	23	1
139	42	0	7	0	1	0	0	0	1	0	0	1	0	1	1	54	42
143	2	0	7	4	2	3	0	1	0	1	1	1	1	1	1	25	2
146	2	0	1	6	2	3	1	1	1	1	1	1	1	1	1	23	2
147	32	0	9	0	0	0	0	1	0	1	0	1	1	1	1	47	32
156	18	0	0	6	1	3	1	1	0	1	0	1	1	1	1	35	18
157	20	0	2	5	0	3	1	0	1	1	1	1	0	1	1	37	20
158	32	0	1	0	0	3	1	1	1	1	1	0	1	1	1	44	32
169	6	0	9	4	2	0	0	1	1	1	1	1	1	1	1	29	6
171	42	0	0	0	0	2	0	0	1	1	1	1	1	1	1	51	42
180	44	0	0	6	0	0	1	0	1	0	0	1	0	1	1	55	44
182	2	0	9	6	0	3	1	1	0	0	1	1	1	1	1	27	2
183	2	0	7	5	2	3	1	0	0	1	1	1	1	1	1	26	2
189	1	0	8	6	1	3	1	0	1	1	0	1	1	1	1	26	1
